record_id,category,record_type,action_title,section,source_page_title,source_page_url,linked_resource_title,linked_resource_url,linked_resource_agency,deep_parsed,source_last_updated,retrieved_at,requires_human_review,source_content_hash,record_content_hash
95a3f50c2325c7d6bf43,french_learning,linked_resource,offer French learning activities or training to your employees,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,offer French learning activities or training to your employees,https://www.quebec.ca/entreprises-et-travailleurs-autonomes/francisation,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,c022fefe70617e764fd9f0ca089aacaec5125c46fa5cd859633889610902c494
058480e20181d2165c05,french_learning,linked_resource,Open access tools and resources,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Open access tools and resources,https://www.quebec.ca/en/education/learn-french/tools-resources,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,eddb1f9e93b707eb79c857c5e3f4ff3931d6681aca0c2daa87d29d67f8316fc4
952ed6d3a58c8ca8f09f,french_learning,linked_resource,the importance of French in Québec,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,the importance of French in Québec,https://www.quebec.ca/en/immigration/french-in-quebec,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,329a71aa3522dae9c3d37c3e541ceab858ec9c82b6d71a59c9dddb1acf07b7ef
d1e246ef52628f3dca61,healthcare,detail_action,Access to the service,Info-Social 811,Info-Social 811,https://www.quebec.ca/en/health/finding-a-resource/info-social-811,,,Gouvernement du Québec,true,"January 9, 2020",2026-06-12T17:58:33+00:00,true,4f412b7b016c035c0a3c48a90acee7a6cd55fe90421cd75cb902043d19bdf83b,0427c115b6ff69dce352f64a115c379e752ad5c70f994968f96439700efe8cab
6c1f61e52bab46abbed2,healthcare,detail_action,Application for assistance using a paper form,Asylum seekers,Asylum seekers,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,,,Gouvernement du Québec,true,"June 11, 2026",2026-06-12T17:58:36+00:00,true,16eaf1e23609b3b65387283d21ab1ea307a5f5ae936c006372c42112628a7d95,b26f10aef5dbe32298e6db0bb68ffb70bd0b02d4bd4a5ea9debaabf4a154f0a6
b5ad9597fe61ae1e003c,healthcare,detail_action,Assessment of your needs,Info-Social 811,Info-Social 811,https://www.quebec.ca/en/health/finding-a-resource/info-social-811,,,Gouvernement du Québec,true,"January 9, 2020",2026-06-12T17:58:33+00:00,true,4f412b7b016c035c0a3c48a90acee7a6cd55fe90421cd75cb902043d19bdf83b,e27acc5d33c69a5e2e6edc26642aff8a60c4e78b3e97534b83ad983843a7a8b2
fec4d9ab91ff8ac0c33d,healthcare,detail_action,Assessment of your needs,Info-Santé 811,Info-Santé 811,https://www.quebec.ca/en/health/finding-a-resource/info-sante-811,,,Gouvernement du Québec,true,"December 8, 2022",2026-06-12T17:58:33+00:00,true,e185a732c0fb9ee4920f2fdd21efc0aca41484a8f35b2e9040aa045f21a3c822,b8fc44d3793eb72abb8c35cc178c48a01b2690e8a9b52d5d2f5bf42f54ca345f
603a82ee15972abf019c,healthcare,detail_action,Call back from a Primary Care Access Point agent,Primary Care Access Point,Primary Care Access Point,https://www.quebec.ca/en/health/finding-a-resource/primary-care-access-point,,,Gouvernement du Québec,true,"April 21, 2026",2026-06-12T17:58:33+00:00,true,08bae471134474177fc22cf672934ddf70f44be4c26f4a275587f7d79a70193e,0c5f9e62b4ccb41e0460df56b243728576d82c5c158c773aa48109f3251ec06f
7ef47c1502402ddc1240,healthcare,detail_action,Call back schedule by region,Primary Care Access Point,Primary Care Access Point,https://www.quebec.ca/en/health/finding-a-resource/primary-care-access-point,,,Gouvernement du Québec,true,"April 21, 2026",2026-06-12T17:58:33+00:00,true,08bae471134474177fc22cf672934ddf70f44be4c26f4a275587f7d79a70193e,7c754bfd477874cdb5d3aab7bab402245a48e2bd8150791a0736cb5c94f399ef
879f2d0eb768395e0427,healthcare,detail_action,Cancel a medical appointment made through the Primary Care Access Point,Primary Care Access Point,Primary Care Access Point,https://www.quebec.ca/en/health/finding-a-resource/primary-care-access-point,,,Gouvernement du Québec,true,"April 21, 2026",2026-06-12T17:58:33+00:00,true,08bae471134474177fc22cf672934ddf70f44be4c26f4a275587f7d79a70193e,15b853d96da51de3ea0d7464273e02d312202a471d2a486fb15f78deba2f0eb3
